<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;10;27/05/20;13:00;1232.7900000;1234.0900000;1231.4200000;1231.8400000;20109212
RTSI;10;27/05/20;13:10;1231.8900000;1233.1400000;1229.5100000;1229.6200000;21463586
RTSI;10;27/05/20;13:20;1229.6900000;1230.8100000;1227.8600000;1230.6900000;26283473
RTSI;10;27/05/20;13:30;1230.6900000;1231.0200000;1229.2400000;1230.5900000;17606698
RTSI;10;27/05/20;13:40;1230.6200000;1231.5600000;1229.2500000;1230.8700000;13923655
RTSI;10;27/05/20;13:50;1230.9100000;1231.4700000;1229.3200000;1231.4700000;16784049
RTSI;10;27/05/20;14:00;1231.4100000;1231.8200000;1229.6100000;1230.7300000;11880779
RTSI;10;27/05/20;14:10;1230.7400000;1230.7400000;1227.9900000;1228.3500000;17120653
RTSI;10;27/05/20;14:20;1228.3900000;1230.3400000;1228.3400000;1230.1600000;15798515
RTSI;10;27/05/20;14:30;1230.1500000;1230.4900000;1228.5200000;1228.6100000;15573107
RTSI;10;27/05/20;14:40;1228.5900000;1229.4300000;1225.3600000;1225.9300000;17256113
RTSI;10;27/05/20;14:50;1225.9700000;1226.7600000;1221.6000000;1222.0500000;23136344
RTSI;10;27/05/20;15:00;1222.0400000;1223.2200000;1218.2600000;1220.6200000;26309905
RTSI;10;27/05/20;15:10;1220.6600000;1221.9000000;1219.1200000;1221.7000000;23481790
RTSI;10;27/05/20;15:20;1221.7100000;1223.5800000;1220.9900000;1222.2800000;18032773
RTSI;10;27/05/20;15:30;1222.2900000;1222.7900000;1220.4500000;1221.9000000;17344132
RTSI;10;27/05/20;15:40;1221.9200000;1224.5200000;1221.8900000;1223.7000000;13746318
RTSI;10;27/05/20;15:50;1223.6800000;1223.8000000;1216.0700000;1216.0900000;24047295
RTSI;10;27/05/20;16:00;1216.0600000;1218.8400000;1213.5800000;1218.3300000;24306144
RTSI;10;27/05/20;16:10;1218.3000000;1219.5300000;1217.0900000;1219.1900000;11157313
RTSI;10;27/05/20;16:20;1219.1800000;1219.6900000;1217.4900000;1218.1900000;11432430
RTSI;10;27/05/20;16:30;1218.1800000;1219.6400000;1214.3500000;1214.8100000;21785637
RTSI;10;27/05/20;16:40;1214.6600000;1215.1000000;1208.7200000;1208.9100000;47267323
RTSI;10;27/05/20;16:50;1207.8900000;1209.3800000;1202.9100000;1203.0500000;59151631
RTSI;10;27/05/20;17:00;1202.9800000;1206.9800000;1200.8800000;1206.5600000;40742919
RTSI;10;27/05/20;17:10;1206.5800000;1210.7000000;1206.5800000;1210.1000000;23838585
RTSI;10;27/05/20;17:20;1210.1400000;1210.4200000;1205.3800000;1206.1900000;24559508
RTSI;10;27/05/20;17:30;1206.2900000;1206.3300000;1202.6400000;1202.9300000;27253474
RTSI;10;27/05/20;17:40;1202.9500000;1202.9500000;1197.8400000;1197.9400000;40227310
RTSI;10;27/05/20;17:50;1197.9900000;1201.8400000;1197.7800000;1201.2200000;34793927
RTSI;10;27/05/20;18:00;1201.1300000;1204.7700000;1200.6000000;1204.1100000;33410497
RTSI;10;27/05/20;18:10;1204.1600000;1206.1400000;1203.0000000;1206.0700000;31603834
RTSI;10;27/05/20;18:20;1206.0200000;1208.2900000;1204.9000000;1208.2000000;34212544
RTSI;10;27/05/20;18:30;1208.2100000;1211.0100000;1208.1700000;1210.3700000;46989382
RTSI;10;27/05/20;18:40;1210.3500000;1210.3500000;1210.3500000;1210.3500000;0
RTSI;10;27/05/20;18:50;1212.2000000;1212.2000000;1212.2000000;1212.2000000;20667260
